,ImagePath,Category
42,C:/Anaconda/image/train\0\0_3_1017_1001_61327239.jpg,0
43,C:/Anaconda/image/train\0\0_3_1019_1003_61327239.jpg,0
44,C:/Anaconda/image/train\0\0_3_1020_1004_61327239.jpg,0
45,C:/Anaconda/image/train\0\0_3_1021_1005_61327239.jpg,0
46,C:/Anaconda/image/train\0\0_3_20140722-00200001.jpg,0
47,C:/Anaconda/image/train\0\0_3_20140722-00200002.jpg,0
48,C:/Anaconda/image/train\0\0_3_20140722-00200004.jpg,0
49,C:/Anaconda/image/train\0\0_3_20140722-00200006.jpg,0
50,C:/Anaconda/image/train\0\0_3_20140722-00200008.jpg,0
51,C:/Anaconda/image/train\0\0_3_20140722-00200011.jpg,0
52,C:/Anaconda/image/train\0\0_3_20140722-00200015.jpg,0
53,C:/Anaconda/image/train\0\0_3_20140722-00200017.jpg,0
54,C:/Anaconda/image/train\0\0_3_20140722-00200018.jpg,0
55,C:/Anaconda/image/train\0\0_3_20140722-00200019.jpg,0
56,C:/Anaconda/image/train\0\0_3_20140722-00200020.jpg,0
57,C:/Anaconda/image/train\0\0_4_1018_1002_61327239.jpg,0
58,C:/Anaconda/image/train\0\0_4_1021_1005_61327239.jpg,0
59,C:/Anaconda/image/train\0\0_4_1022_1006_61327239.jpg,0
60,C:/Anaconda/image/train\0\0_4_1023_1007_61327239.jpg,0
61,C:/Anaconda/image/train\0\0_4_1025_1009_61327239.jpg,0
62,C:/Anaconda/image/train\0\0_4_20140722-00200001.jpg,0
63,C:/Anaconda/image/train\0\0_4_20140722-00200002.jpg,0
64,C:/Anaconda/image/train\0\0_4_20140722-00200005.jpg,0
65,C:/Anaconda/image/train\0\0_4_20140722-00200010.jpg,0
66,C:/Anaconda/image/train\0\0_4_20140722-00200015.jpg,0
67,C:/Anaconda/image/train\0\0_4_20140722-00200018.jpg,0
68,C:/Anaconda/image/train\0\0_4_20140722-00200019.jpg,0
69,C:/Anaconda/image/train\0\0_4_20140722-00200020.jpg,0
70,C:/Anaconda/image/train\0\0_5_1018_1002_61327239.jpg,0
71,C:/Anaconda/image/train\0\0_5_1019_1003_61327239.jpg,0
72,C:/Anaconda/image/train\0\0_5_1020_1004_61327239.jpg,0
73,C:/Anaconda/image/train\0\0_5_1021_1005_61327239.jpg,0
74,C:/Anaconda/image/train\0\0_5_20140722-00200001.jpg,0
75,C:/Anaconda/image/train\0\0_5_20140722-00200002.jpg,0
76,C:/Anaconda/image/train\0\0_5_20140722-00200004.jpg,0
77,C:/Anaconda/image/train\0\0_5_20140722-00200005.jpg,0
78,C:/Anaconda/image/train\0\0_5_20140722-00200010.jpg,0
79,C:/Anaconda/image/train\0\0_5_20140722-00200011.jpg,0
80,C:/Anaconda/image/train\0\0_5_20140722-00200012.jpg,0
81,C:/Anaconda/image/train\0\0_5_20140722-00200015.jpg,0
82,C:/Anaconda/image/train\0\0_5_20140722-00200017.jpg,0
83,C:/Anaconda/image/train\0\0_6_1017_1001_61327239.jpg,0
84,C:/Anaconda/image/train\0\0_6_1018_1002_61327239.jpg,0
85,C:/Anaconda/image/train\0\0_6_1019_1003_61327239.jpg,0
86,C:/Anaconda/image/train\0\0_6_1020_1004_61327239.jpg,0
87,C:/Anaconda/image/train\0\0_6_1022_1006_61327239.jpg,0
88,C:/Anaconda/image/train\0\0_6_1024_1008_61327239.jpg,0
89,C:/Anaconda/image/train\0\0_6_20140722-00200001.jpg,0
90,C:/Anaconda/image/train\0\0_6_20140722-00200002.jpg,0
91,C:/Anaconda/image/train\0\0_6_20140722-00200004.jpg,0
92,C:/Anaconda/image/train\0\0_6_20140722-00200005.jpg,0
93,C:/Anaconda/image/train\0\0_6_20140722-00200010.jpg,0
94,C:/Anaconda/image/train\0\0_7_1017_1001_61327239.jpg,0
95,C:/Anaconda/image/train\0\0_7_1018_1002_61327239.jpg,0
96,C:/Anaconda/image/train\0\0_7_1019_1003_61327239.jpg,0
97,C:/Anaconda/image/train\0\0_7_1020_1004_61327239.jpg,0
98,C:/Anaconda/image/train\0\0_7_1022_1006_61327239.jpg,0
99,C:/Anaconda/image/train\0\0_7_1023_1007_61327239.jpg,0
100,C:/Anaconda/image/train\0\0_7_1024_1008_61327239.jpg,0
101,C:/Anaconda/image/train\0\0_7_1025_1009_61327239.jpg,0
102,C:/Anaconda/image/train\0\0_7_20140722-00200001.jpg,0
103,C:/Anaconda/image/train\0\0_7_20140722-00200010.jpg,0
104,C:/Anaconda/image/train\0\0_7_20140722-00200019.jpg,0
105,C:/Anaconda/image/train\0\0_7_20140722-00200020.jpg,0
106,C:/Anaconda/image/train\0\0_83929906.jpg,0
107,C:/Anaconda/image/train\0\0_83929921.jpg,0
108,C:/Anaconda/image/train\0\0_83933609.jpg,0
109,C:/Anaconda/image/train\0\0_83933625.jpg,0
110,C:/Anaconda/image/train\0\0_83937562.jpg,0
111,C:/Anaconda/image/train\0\0_83937578.jpg,0
112,C:/Anaconda/image/train\0\0_83939234.jpg,0
113,C:/Anaconda/image/train\0\0_83943031.jpg,0
114,C:/Anaconda/image/train\0\0_83943906.jpg,0
115,C:/Anaconda/image/train\0\0_83948437.jpg,0
116,C:/Anaconda/image/train\0\0_83950562.jpg,0
117,C:/Anaconda/image/train\0\0_83951578.jpg,0
118,C:/Anaconda/image/train\0\0_83954093.jpg,0
119,C:/Anaconda/image/train\0\0_83954109.jpg,0
120,C:/Anaconda/image/train\0\0_83955875.jpg,0
121,C:/Anaconda/image/train\0\0_83957437.jpg,0
122,C:/Anaconda/image/train\0\0_83958296.jpg,0
123,C:/Anaconda/image/train\0\0_83961000.jpg,0
124,C:/Anaconda/image/train\0\0_83965171.jpg,0
125,C:/Anaconda/image/train\0\0_83966140.jpg,0
126,C:/Anaconda/image/train\0\0_83970640.jpg,0
127,C:/Anaconda/image/train\0\0_83972718.jpg,0
128,C:/Anaconda/image/train\0\0_83974796.jpg,0
129,C:/Anaconda/image/train\0\0_83976531.jpg,0
130,C:/Anaconda/image/train\0\0_83976546.jpg,0
131,C:/Anaconda/image/train\0\0_83976562.jpg,0
132,C:/Anaconda/image/train\0\0_83976578.jpg,0
133,C:/Anaconda/image/train\0\0_83978500.jpg,0
134,C:/Anaconda/image/train\0\0_83980328.jpg,0
135,C:/Anaconda/image/train\0\0_83982234.jpg,0
136,C:/Anaconda/image/train\0\0_83984593.jpg,0
137,C:/Anaconda/image/train\0\0_83984609.jpg,0
138,C:/Anaconda/image/train\0\0_83984656.jpg,0
139,C:/Anaconda/image/train\0\0_83990359.jpg,0
140,C:/Anaconda/image/train\0\0_83992312.jpg,0
141,C:/Anaconda/image/train\0\0_83994093.jpg,0
142,C:/Anaconda/image/train\0\0_83994109.jpg,0
143,C:/Anaconda/image/train\0\0_83996078.jpg,0
144,C:/Anaconda/image/train\0\0_84000156.jpg,0
145,C:/Anaconda/image/train\0\0_84006875.jpg,0
146,C:/Anaconda/image/train\0\0_84013906.jpg,0
147,C:/Anaconda/image/train\0\0_84013921.jpg,0
148,C:/Anaconda/image/train\0\0_84015640.jpg,0
149,C:/Anaconda/image/train\0\0_84015656.jpg,0
150,C:/Anaconda/image/train\0\0_84017578.jpg,0
151,C:/Anaconda/image/train\0\0_84019468.jpg,0
152,C:/Anaconda/image/train\0\0_84022125.jpg,0
153,C:/Anaconda/image/train\0\0_84026187.jpg,0
154,C:/Anaconda/image/train\0\0_84028140.jpg,0
155,C:/Anaconda/image/train\0\0_84028187.jpg,0
156,C:/Anaconda/image/train\0\0_84030171.jpg,0
157,C:/Anaconda/image/train\0\0_84032281.jpg,0
158,C:/Anaconda/image/train\0\0_84032296.jpg,0
159,C:/Anaconda/image/train\0\0_84035765.jpg,0
160,C:/Anaconda/image/train\0\0_84037625.jpg,0
161,C:/Anaconda/image/train\0\0_84043328.jpg,0
162,C:/Anaconda/image/train\0\0_84047359.jpg,0
163,C:/Anaconda/image/train\0\0_84049109.jpg,0
164,C:/Anaconda/image/train\0\0_84051359.jpg,0
165,C:/Anaconda/image/train\0\0_84055171.jpg,0
166,C:/Anaconda/image/train\0\0_84056906.jpg,0
167,C:/Anaconda/image/train\0\0_84060734.jpg,0
168,C:/Anaconda/image/train\0\0_84201859.jpg,0
169,C:/Anaconda/image/train\0\0_84204250.jpg,0
170,C:/Anaconda/image/train\0\0_84204984.jpg,0
171,C:/Anaconda/image/train\0\0_84205765.jpg,0
172,C:/Anaconda/image/train\0\0_8420671.jpg,0
173,C:/Anaconda/image/train\0\0_84207328.jpg,0
174,C:/Anaconda/image/train\0\0_84208078.jpg,0
175,C:/Anaconda/image/train\0\0_84208812.jpg,0
176,C:/Anaconda/image/train\0\0_84209718.jpg,0
177,C:/Anaconda/image/train\0\0_84210453.jpg,0
178,C:/Anaconda/image/train\0\0_84211234.jpg,0
179,C:/Anaconda/image/train\0\0_84211250.jpg,0
180,C:/Anaconda/image/train\0\0_84211968.jpg,0
181,C:/Anaconda/image/train\0\0_84211984.jpg,0
182,C:/Anaconda/image/train\0\0_84212750.jpg,0
183,C:/Anaconda/image/train\0\0_84213500.jpg,0
184,C:/Anaconda/image/train\0\0_84214296.jpg,0
185,C:/Anaconda/image/train\0\0_84214312.jpg,0
186,C:/Anaconda/image/train\0\0_84215015.jpg,0
187,C:/Anaconda/image/train\0\0_84216625.jpg,0
188,C:/Anaconda/image/train\0\0_84217515.jpg,0
189,C:/Anaconda/image/train\0\0_84217531.jpg,0
190,C:/Anaconda/image/train\0\0_84218250.jpg,0
191,C:/Anaconda/image/train\0\0_84219875.jpg,0
192,C:/Anaconda/image/train\0\0_84219890.jpg,0
193,C:/Anaconda/image/train\0\0_84223078.jpg,0
194,C:/Anaconda/image/train\0\0_84223796.jpg,0
195,C:/Anaconda/image/train\0\0_84224546.jpg,0
196,C:/Anaconda/image/train\0\0_84229093.jpg,0
197,C:/Anaconda/image/train\0\0_84229109.jpg,0
198,C:/Anaconda/image/train\0\0_84229906.jpg,0
199,C:/Anaconda/image/train\0\0_84233687.jpg,0
200,C:/Anaconda/image/train\0\0_84233703.jpg,0
201,C:/Anaconda/image/train\0\0_84234421.jpg,0
202,C:/Anaconda/image/train\0\0_84236406.jpg,0
203,C:/Anaconda/image/train\0\0_84237156.jpg,0
204,C:/Anaconda/image/train\0\0_84240515.jpg,0
205,C:/Anaconda/image/train\0\0_84246343.jpg,0
206,C:/Anaconda/image/train\0\0_84248140.jpg,0
207,C:/Anaconda/image/train\0\0_84249250.jpg,0
208,C:/Anaconda/image/train\0\0_84250921.jpg,0
209,C:/Anaconda/image/train\0\0_84252500.jpg,0
210,C:/Anaconda/image/train\0\0_84253296.jpg,0
211,C:/Anaconda/image/train\0\0_84254859.jpg,0
212,C:/Anaconda/image/train\0\0_84255593.jpg,0
213,C:/Anaconda/image/train\0\0_84256343.jpg,0
214,C:/Anaconda/image/train\0\0_84257156.jpg,0
215,C:/Anaconda/image/train\0\0_84257937.jpg,0
216,C:/Anaconda/image/train\0\0_84258687.jpg,0
217,C:/Anaconda/image/train\0\0_84258703.jpg,0
218,C:/Anaconda/image/train\0\0_84259468.jpg,0
219,C:/Anaconda/image/train\0\0_84260250.jpg,0
220,C:/Anaconda/image/train\0\0_8_1018_1002_61327239.jpg,0
221,C:/Anaconda/image/train\0\0_8_1019_1003_61327239.jpg,0
222,C:/Anaconda/image/train\0\0_8_1023_1007_61327239.jpg,0
223,C:/Anaconda/image/train\0\0_8_1024_1008_61327239.jpg,0
224,C:/Anaconda/image/train\0\0_8_1025_1009_61327239.jpg,0
225,C:/Anaconda/image/train\0\0_8_20140722-00200001.jpg,0
226,C:/Anaconda/image/train\0\0_8_20140722-00200002.jpg,0
227,C:/Anaconda/image/train\0\0_8_20140722-00200013.jpg,0
228,C:/Anaconda/image/train\0\0_8_20140722-00200019.jpg,0
229,C:/Anaconda/image/train\0\0_8_20140722-00200020.jpg,0
230,C:/Anaconda/image/train\0\0_9_1020_1004_61327239.jpg,0
231,C:/Anaconda/image/train\0\0_9_1022_1006_61327239.jpg,0
232,C:/Anaconda/image/train\0\0_9_1025_1009_61327239.jpg,0
233,C:/Anaconda/image/train\0\0_9_20140722-00200001.jpg,0
234,C:/Anaconda/image/train\0\0_9_20140722-00200019.jpg,0
235,C:/Anaconda/image/train\0\0_9_20140722-00200020.jpg,0
236,C:/Anaconda/image/train\1\1_10_1017_1001_61327239.jpg,1
237,C:/Anaconda/image/train\1\1_10_1018_1002_61327239.jpg,1
238,C:/Anaconda/image/train\1\1_10_1021_1005_61327239.jpg,1
239,C:/Anaconda/image/train\1\1_10_1022_1006_61327239.jpg,1
240,C:/Anaconda/image/train\1\1_10_1023_1007_61327239.jpg,1
241,C:/Anaconda/image/train\1\1_10_1024_1008_61327239.jpg,1
242,C:/Anaconda/image/train\1\1_10_1025_1009_61327239.jpg,1
243,C:/Anaconda/image/train\1\1_10_20140722-00200001.jpg,1
244,C:/Anaconda/image/train\1\1_10_20140722-00200002.jpg,1
245,C:/Anaconda/image/train\1\1_10_20140722-00200020.jpg,1
246,C:/Anaconda/image/train\1\1_11_1018_1002_61327239.jpg,1
247,C:/Anaconda/image/train\1\1_11_1019_1003_61327239.jpg,1
248,C:/Anaconda/image/train\1\1_11_1020_1004_61327239.jpg,1
249,C:/Anaconda/image/train\1\1_11_1021_1005_61327239.jpg,1
250,C:/Anaconda/image/train\1\1_11_1022_1006_61327239.jpg,1
251,C:/Anaconda/image/train\1\1_11_1023_1007_61327239.jpg,1
252,C:/Anaconda/image/train\1\1_11_1024_1008_61327239.jpg,1
253,C:/Anaconda/image/train\1\1_11_1025_1009_61327239.jpg,1
254,C:/Anaconda/image/train\1\1_11_20140722-00200001.jpg,1
255,C:/Anaconda/image/train\1\1_11_20140722-00200002.jpg,1
256,C:/Anaconda/image/train\1\1_12_1017_1001_61327239.jpg,1
257,C:/Anaconda/image/train\1\1_12_1023_1007_61327239.jpg,1
258,C:/Anaconda/image/train\1\1_12_1024_1008_61327239.jpg,1
259,C:/Anaconda/image/train\1\1_12_1025_1009_61327239.jpg,1
260,C:/Anaconda/image/train\1\1_12_20140722-00200001.jpg,1
261,C:/Anaconda/image/train\1\1_12_20140722-00200002.jpg,1
262,C:/Anaconda/image/train\1\1_2_1018_1002_61327239.jpg,1
263,C:/Anaconda/image/train\1\1_2_20140722-00200001.jpg,1
264,C:/Anaconda/image/train\1\1_2_20140722-00200002.jpg,1
265,C:/Anaconda/image/train\1\1_2_20140722-00200003.jpg,1
266,C:/Anaconda/image/train\1\1_2_20140722-00200004.jpg,1
267,C:/Anaconda/image/train\1\1_2_20140722-00200005.jpg,1
268,C:/Anaconda/image/train\1\1_2_20140722-00200006.jpg,1
269,C:/Anaconda/image/train\1\1_2_20140722-00200008.jpg,1
270,C:/Anaconda/image/train\1\1_2_20140722-00200010.jpg,1
271,C:/Anaconda/image/train\1\1_2_20140722-00200012.jpg,1
272,C:/Anaconda/image/train\1\1_2_20140722-00200015.jpg,1
273,C:/Anaconda/image/train\1\1_2_20140722-00200017.jpg,1
274,C:/Anaconda/image/train\1\1_2_20140722-00200018.jpg,1
275,C:/Anaconda/image/train\1\1_2_20140722-00200019.jpg,1
276,C:/Anaconda/image/train\1\1_2_20140722-00200020.jpg,1
277,C:/Anaconda/image/train\1\1_3_1019_1003_61327239.jpg,1
278,C:/Anaconda/image/train\1\1_3_1021_1005_61327239.jpg,1
279,C:/Anaconda/image/train\1\1_3_1023_1007_61327239.jpg,1
280,C:/Anaconda/image/train\1\1_3_1024_1008_61327239.jpg,1
281,C:/Anaconda/image/train\1\1_3_1025_1009_61327239.jpg,1
282,C:/Anaconda/image/train\1\1_3_20140722-00200001.jpg,1
283,C:/Anaconda/image/train\1\1_3_20140722-00200002.jpg,1
284,C:/Anaconda/image/train\1\1_3_20140722-00200004.jpg,1
285,C:/Anaconda/image/train\1\1_3_20140722-00200005.jpg,1
286,C:/Anaconda/image/train\1\1_3_20140722-00200006.jpg,1
287,C:/Anaconda/image/train\1\1_3_20140722-00200008.jpg,1
288,C:/Anaconda/image/train\1\1_3_20140722-00200010.jpg,1
289,C:/Anaconda/image/train\1\1_3_20140722-00200011.jpg,1
290,C:/Anaconda/image/train\1\1_3_20140722-00200017.jpg,1
291,C:/Anaconda/image/train\1\1_3_20140722-00200018.jpg,1
292,C:/Anaconda/image/train\1\1_3_20140722-00200019.jpg,1
293,C:/Anaconda/image/train\1\1_3_20140722-00200020.jpg,1
294,C:/Anaconda/image/train\1\1_4_1017_1001_61327239.jpg,1
295,C:/Anaconda/image/train\1\1_4_1020_1004_61327239.jpg,1
296,C:/Anaconda/image/train\1\1_4_1021_1005_61327239.jpg,1
297,C:/Anaconda/image/train\1\1_4_1022_1006_61327239.jpg,1
298,C:/Anaconda/image/train\1\1_4_1023_1007_61327239.jpg,1
299,C:/Anaconda/image/train\1\1_4_20140722-00200001.jpg,1
300,C:/Anaconda/image/train\1\1_4_20140722-00200002.jpg,1
301,C:/Anaconda/image/train\1\1_4_20140722-00200004.jpg,1
302,C:/Anaconda/image/train\1\1_4_20140722-00200005.jpg,1
303,C:/Anaconda/image/train\1\1_4_20140722-00200006.jpg,1
304,C:/Anaconda/image/train\1\1_4_20140722-00200010.jpg,1
305,C:/Anaconda/image/train\1\1_4_20140722-00200015.jpg,1
306,C:/Anaconda/image/train\1\1_4_20140722-00200017.jpg,1
307,C:/Anaconda/image/train\1\1_4_20140722-00200018.jpg,1
308,C:/Anaconda/image/train\1\1_4_20140722-00200019.jpg,1
309,C:/Anaconda/image/train\1\1_4_20140722-00200020.jpg,1
310,C:/Anaconda/image/train\1\1_5_1017_1001_61327239.jpg,1
311,C:/Anaconda/image/train\1\1_5_1018_1002_61327239.jpg,1
312,C:/Anaconda/image/train\1\1_5_1019_1003_61327239.jpg,1
313,C:/Anaconda/image/train\1\1_5_1022_1006_61327239.jpg,1
314,C:/Anaconda/image/train\1\1_5_20140722-00200001.jpg,1
315,C:/Anaconda/image/train\1\1_5_20140722-00200002.jpg,1
316,C:/Anaconda/image/train\1\1_5_20140722-00200004.jpg,1
317,C:/Anaconda/image/train\1\1_5_20140722-00200006.jpg,1
318,C:/Anaconda/image/train\1\1_5_20140722-00200011.jpg,1
319,C:/Anaconda/image/train\1\1_5_20140722-00200012.jpg,1
320,C:/Anaconda/image/train\1\1_5_20140722-00200015.jpg,1
321,C:/Anaconda/image/train\1\1_5_20140722-00200017.jpg,1
322,C:/Anaconda/image/train\1\1_5_20140722-00200019.jpg,1
323,C:/Anaconda/image/train\1\1_5_20140722-00200020.jpg,1
324,C:/Anaconda/image/train\1\1_6_1018_1002_61327239.jpg,1
325,C:/Anaconda/image/train\1\1_6_1019_1003_61327239.jpg,1
326,C:/Anaconda/image/train\1\1_6_20140722-00200001.jpg,1
327,C:/Anaconda/image/train\1\1_6_20140722-00200002.jpg,1
328,C:/Anaconda/image/train\1\1_6_20140722-00200004.jpg,1
329,C:/Anaconda/image/train\1\1_6_20140722-00200005.jpg,1
330,C:/Anaconda/image/train\1\1_6_20140722-00200019.jpg,1
331,C:/Anaconda/image/train\1\1_7_1023_1007_61327239.jpg,1
332,C:/Anaconda/image/train\1\1_7_1024_1008_61327239.jpg,1
333,C:/Anaconda/image/train\1\1_7_20140722-00200001.jpg,1
334,C:/Anaconda/image/train\1\1_7_20140722-00200002.jpg,1
335,C:/Anaconda/image/train\1\1_7_20140722-00200010.jpg,1
336,C:/Anaconda/image/train\1\1_7_20140722-00200019.jpg,1
337,C:/Anaconda/image/train\1\1_83928015.jpg,1
338,C:/Anaconda/image/train\1\1_83929921.jpg,1
339,C:/Anaconda/image/train\1\1_83931671.jpg,1
340,C:/Anaconda/image/train\1\1_83935531.jpg,1
341,C:/Anaconda/image/train\1\1_83937625.jpg,1
342,C:/Anaconda/image/train\1\1_83939250.jpg,1
343,C:/Anaconda/image/train\1\1_83941390.jpg,1
344,C:/Anaconda/image/train\1\1_83943031.jpg,1
345,C:/Anaconda/image/train\1\1_83943921.jpg,1
346,C:/Anaconda/image/train\1\1_83946281.jpg,1
347,C:/Anaconda/image/train\1\1_83948468.jpg,1
348,C:/Anaconda/image/train\1\1_83950578.jpg,1
349,C:/Anaconda/image/train\1\1_83951609.jpg,1
350,C:/Anaconda/image/train\1\1_83954109.jpg,1
351,C:/Anaconda/image/train\1\1_83955921.jpg,1
352,C:/Anaconda/image/train\1\1_83957468.jpg,1
353,C:/Anaconda/image/train\1\1_83958406.jpg,1
354,C:/Anaconda/image/train\1\1_83965203.jpg,1
355,C:/Anaconda/image/train\1\1_83966156.jpg,1
356,C:/Anaconda/image/train\1\1_83968609.jpg,1
357,C:/Anaconda/image/train\1\1_83970562.jpg,1
358,C:/Anaconda/image/train\1\1_83970656.jpg,1
359,C:/Anaconda/image/train\1\1_83972734.jpg,1
360,C:/Anaconda/image/train\1\1_83974812.jpg,1
361,C:/Anaconda/image/train\1\1_83976687.jpg,1
362,C:/Anaconda/image/train\1\1_83978546.jpg,1
363,C:/Anaconda/image/train\1\1_83980390.jpg,1
364,C:/Anaconda/image/train\1\1_83982250.jpg,1
365,C:/Anaconda/image/train\1\1_83984656.jpg,1
366,C:/Anaconda/image/train\1\1_83986390.jpg,1
367,C:/Anaconda/image/train\1\1_83988250.jpg,1
368,C:/Anaconda/image/train\1\1_83990390.jpg,1
369,C:/Anaconda/image/train\1\1_83992328.jpg,1
370,C:/Anaconda/image/train\1\1_83994171.jpg,1
371,C:/Anaconda/image/train\1\1_83996093.jpg,1
372,C:/Anaconda/image/train\1\1_83997937.jpg,1
373,C:/Anaconda/image/train\1\1_84000171.jpg,1
374,C:/Anaconda/image/train\1\1_84002093.jpg,1
375,C:/Anaconda/image/train\1\1_84004406.jpg,1
376,C:/Anaconda/image/train\1\1_84006890.jpg,1
377,C:/Anaconda/image/train\1\1_84011968.jpg,1
378,C:/Anaconda/image/train\1\1_84013937.jpg,1
379,C:/Anaconda/image/train\1\1_84015703.jpg,1
380,C:/Anaconda/image/train\1\1_84017593.jpg,1
381,C:/Anaconda/image/train\1\1_84022140.jpg,1
382,C:/Anaconda/image/train\1\1_84024109.jpg,1
383,C:/Anaconda/image/train\1\1_84026203.jpg,1
384,C:/Anaconda/image/train\1\1_84030187.jpg,1
385,C:/Anaconda/image/train\1\1_84032375.jpg,1
386,C:/Anaconda/image/train\1\1_84034000.jpg,1
387,C:/Anaconda/image/train\1\1_84035765.jpg,1
388,C:/Anaconda/image/train\1\1_84036671.jpg,1
389,C:/Anaconda/image/train\1\1_84040000.jpg,1
390,C:/Anaconda/image/train\1\1_84041671.jpg,1
391,C:/Anaconda/image/train\1\1_84043343.jpg,1
392,C:/Anaconda/image/train\1\1_84045250.jpg,1
393,C:/Anaconda/image/train\1\1_84047375.jpg,1
394,C:/Anaconda/image/train\1\1_84049187.jpg,1
395,C:/Anaconda/image/train\1\1_84051390.jpg,1
396,C:/Anaconda/image/train\1\1_84056921.jpg,1
397,C:/Anaconda/image/train\1\1_84058640.jpg,1
398,C:/Anaconda/image/train\1\1_84060750.jpg,1
399,C:/Anaconda/image/train\1\1_84201937.jpg,1
400,C:/Anaconda/image/train\1\1_84202687.jpg,1
401,C:/Anaconda/image/train\1\1_84212781.jpg,1
402,C:/Anaconda/image/train\1\1_84213562.jpg,1
403,C:/Anaconda/image/train\1\1_84214312.jpg,1
404,C:/Anaconda/image/train\1\1_84215765.jpg,1
405,C:/Anaconda/image/train\1\1_84216625.jpg,1
406,C:/Anaconda/image/train\1\1_84217531.jpg,1
407,C:/Anaconda/image/train\1\1_84217562.jpg,1
408,C:/Anaconda/image/train\1\1_84219203.jpg,1
409,C:/Anaconda/image/train\1\1_84220640.jpg,1
410,C:/Anaconda/image/train\1\1_84220656.jpg,1
411,C:/Anaconda/image/train\1\1_84221453.jpg,1
412,C:/Anaconda/image/train\1\1_84222359.jpg,1
413,C:/Anaconda/image/train\1\1_84223812.jpg,1
414,C:/Anaconda/image/train\1\1_84224562.jpg,1
415,C:/Anaconda/image/train\1\1_84225359.jpg,1
416,C:/Anaconda/image/train\1\1_84225437.jpg,1
417,C:/Anaconda/image/train\1\1_84226156.jpg,1
418,C:/Anaconda/image/train\1\1_84226921.jpg,1
419,C:/Anaconda/image/train\1\1_84226937.jpg,1
420,C:/Anaconda/image/train\1\1_84227656.jpg,1
421,C:/Anaconda/image/train\1\1_84229187.jpg,1
422,C:/Anaconda/image/train\1\1_84230703.jpg,1
423,C:/Anaconda/image/train\1\1_84232203.jpg,1
424,C:/Anaconda/image/train\1\1_84232218.jpg,1
425,C:/Anaconda/image/train\1\1_84232968.jpg,1
426,C:/Anaconda/image/train\1\1_84233703.jpg,1
427,C:/Anaconda/image/train\1\1_84234437.jpg,1
428,C:/Anaconda/image/train\1\1_84235234.jpg,1
